sl_no,name,release_date,denomination,quantity,printer,stamp_images,fdc_images,brochure_pdf
1,125th Birth Anniversary Year of Netaji Subhas Chandra Bose,23.01.2021,2500p,504000,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/stamp_netaji_08022021.jpg,https://postagestamps.gov.in/Uploads/fdc_netaji_08022021.jpg,https://postagestamps.gov.in/..\Pdf\Brochure_Netaji_Hn.pdf
2,50 Years of full Statehood of Himachal Pradesh,25.01.2021,500p,403825,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/Stamp_50 Years of Full Statehood of HP.jpg,https://postagestamps.gov.in/Uploads/FDC_50 Years of Full Statehood of HP.jpg,https://postagestamps.gov.in/..\Pdf\50 Years of Full Statehood of HP_broch.pdf
3,The High Court Of Gujarat,06.02.2021,500p,416900,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/stamp_Gujrat High Court_diamond_Jubilee.jpg,https://postagestamps.gov.in/Uploads/FDC_Gujrat High Court_diamond_Jubilee.jpg,https://postagestamps.gov.in/..\Pdf\Gujrat HC_broch.pdf
4,100 Years of First Visit of Mahatma Gandhi to Odisha,23.03.2021,500p,504000,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/STMP_odisha.jpg,https://postagestamps.gov.in/Uploads/FDC_odisha.jpg,https://postagestamps.gov.in/..\Pdf\Brochure_front.pdf
5,Golden Jubilee Year of India Bangladesh Friendship,27.03.2021,500p,504000,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/High_Res_Stamp.jpg,https://postagestamps.gov.in/Uploads/High_Res_FDC.jpg,https://postagestamps.gov.in/..\Pdf\High_Res.pdf
6,Rajyogini Dadi Janki,12.04.2021,500p,804450,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/Janki.jpeg,https://postagestamps.gov.in/Uploads/Janki_stamp.jpeg,https://postagestamps.gov.in/..\Pdf\HEng_High_Res_Dadi_Janki.pdf
7,70 Years of Diplomatic relations between India and Germany,10.06.2021,500p,352400,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/stamp_india_germany.jpg,https://postagestamps.gov.in/Uploads/india_germany_cancelled_fdc.jpg,https://postagestamps.gov.in/..\Pdf\70_years_india_germany.pdf
8,"Golden Jubilee Year -  Gayatri Teerth, Shantikunj",20.06.2021,500p,402525,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/gayatri_teerth_shantikunj_stamp.jpg,https://postagestamps.gov.in/Uploads/FDC_Gayatri_Teerth_Shantikunj.jpg,https://postagestamps.gov.in/..\Pdf\brochure_gayatri_teerth_shantikunj.pdf
9,Ma. CHAMAN LAL,07.08.2021,500p,172230,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/stamp_chaman_lal.jpg,https://postagestamps.gov.in/Uploads/fdc_chaman_lal.jpg,https://postagestamps.gov.in/..\Pdf\brochure_chaman_lal.pdf
10,Rao Jaimal Rathore,17.09.2021,500p,201600,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/RAOJaimal.jpg,https://postagestamps.gov.in/Uploads/fdc_RAOJaimal.jpg,https://postagestamps.gov.in/..\Pdf\Brochure_RAO.pdf
11,"Solapur martyrs:  ""Mallappa Dhanshetti, Shrikisan Sarada, Jagannath Shinde and Abdul Rasul Kurban Hussain""",02.10.2021,500p,302400,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/solapur_martyrs.jpg,https://postagestamps.gov.in/Uploads/solapur_martyrs_FDC.jpg,https://postagestamps.gov.in/..\Pdf\solapur_martyrs_Brochure.pdf
12,DECCAN COLLEGE BICENTENARY,06.10.2021,500p,307157,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/DECCAN_COLLEGE_BICENTENARY_Stamp.jpg,https://postagestamps.gov.in/Uploads/DECCAN_COLLEGE_BICENTENARY_FDC.jpg,https://postagestamps.gov.in/..\Pdf\DECCAN_COLLEGE_BICENTENARY_Brochure.pdf
13,DATTOPANT THENGADI,10.11.2021,500p,201600,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/dattopant_thengadi_stamp.jpg,https://postagestamps.gov.in/Uploads/dattopant_thengadi_fdc.jpg,https://postagestamps.gov.in/..\Pdf\dattopant_thengadi_Brochure.pdf
14,"S.C.B. MEDICAL COLLEGE & HOSPITAL, CUTTACK",27.11.2021,500p,302980,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/SCB_Medical_College_Stamp.jpg,https://postagestamps.gov.in/Uploads/SCB_Medical_College_FDC.jpg,https://postagestamps.gov.in/..\Pdf\SCB_Medical_College_Brochure.pdf
15,75 Years of Mahindra Group,01.12.2021,1200p,302600,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/75_Years_Mahindra_Group_Stamp.jpg,https://postagestamps.gov.in/Uploads/75_Years_Mahindra_Group_FDC.jpg,https://postagestamps.gov.in/..\Pdf\75_Years_Mahindra_Group_Brochure.pdf
16,SWARNIM VIJAY VARSH,16.12.2021,500p,302400,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/SWARNIM_VIJAY_VARSH_Stamp.jpg,https://postagestamps.gov.in/Uploads/SWARNIM_VIJAY_VARSH_FDC.jpg,https://postagestamps.gov.in/..\Pdf\SWARNIM_VIJAY_VARSH_Brochure.pdf
1,PERMANENT COMMISSION TO WOMEN OFFICERS IN INDIAN ARMY,15.01.2022,"1000p,1500p",202450,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/PCWOIA Stamp.jpg,https://postagestamps.gov.in/Uploads/PCWOIA FDC.jpg,https://postagestamps.gov.in/..\Pdf\PCWOIA Brochure.pdf
2,Department of Health Research,16.01.2022,500p,301920,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/ICMR Stamp.jpg,https://postagestamps.gov.in/Uploads/ICMR FDC.jpg,https://postagestamps.gov.in/..\Pdf\ICMR Brochure.pdf
3,50 years of full statehood of Manipur,21.01.2022,500p,305100,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/Stamp Manipur.jpg,https://postagestamps.gov.in/Uploads/FDC Manipur.jpg,https://postagestamps.gov.in/..\Pdf\Brochure Manipur.pdf
4,50 years of full statehood of Meghalaya,21.01.2022,500p,305100,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/Stamp Meghalaya.jpg,https://postagestamps.gov.in/Uploads/FDC Meghalaya.jpg,https://postagestamps.gov.in/..\Pdf\Brochure Meghalaya.pdf
5,50 years of full statehood of Tripura,21.01.2022,500p,305100,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/Stamp Tripura.jpg,https://postagestamps.gov.in/Uploads/FDC Tripura.jpg,https://postagestamps.gov.in/..\Pdf\Brochure Tripura.pdf
6,50th Anniversary of ICRISAT,05.02.2022,500p,309500,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/ICRISAT Stamp.jpg,https://postagestamps.gov.in/Uploads/ICRISAT FDC.jpg,https://postagestamps.gov.in/..\Pdf\ICRISAT Brochure.pdf
7,Delhi Police – Platinum Jubilee,16.02.2022,500p,500000,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/Delhi Police Stamp.jpg,https://postagestamps.gov.in/Uploads/Delhi Police FDC.jpg,https://postagestamps.gov.in/..\Pdf\Delhi Police Brochure.pdf
8,Joint celebrations of the year of 50th Anniversary of UAE's formation and the 75th Anniversary of the Independence of India,18.02.2022,2500p,302400,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/India UAE Stamp.jpg,https://postagestamps.gov.in/Uploads/India UAE FDC.jpg,
9,50 Years of Arunachal Pradesh,20.02.2022,500p,404225,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/Ar Stamp.jpg,https://postagestamps.gov.in/Uploads/Ar FDC.jpg,https://postagestamps.gov.in/..\Pdf\Ar Brochure.pdf
10,President Fleet Review 2022 visakhapatnam,21.02.2022,500p,302250,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/VSKP Stamp.jpg,https://postagestamps.gov.in/Uploads/VSKP FDC.jpg,https://postagestamps.gov.in/..\Pdf\VSKP Brochure.pdf
11,"RASHTRIYA INDIAN MILITARY COLLEGE, DEHRADUN",13.03.2022,500p,402945,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/RIMC Stamp.jpg,https://postagestamps.gov.in/Uploads/RIMC FDC.jpg,https://postagestamps.gov.in/..\Pdf\RIMC Brochure.pdf
12,36th  INTERNATIONAL GEOLOGICAL CONGRESS,20.03.2022,"500p,1000p",311100,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/IGC Stamp.jpg,https://postagestamps.gov.in/Uploads/IGC FDC.jpg,https://postagestamps.gov.in/..\Pdf\IGC Brochure.pdf
13,India and Turkmenistan - 30 Years of Partnership,03.04.2022,2500p,201600,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/Ind_Turk Stamp.jpg,https://postagestamps.gov.in/Uploads/Ind_Turk FDC.jpg,https://postagestamps.gov.in/..\Pdf\Ind_Turk Brochure.pdf
14,PANDURANG  VAMAN KANE,18.04.2022,500p,302200,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/PVK Stamp.jpg,https://postagestamps.gov.in/Uploads/PVK FDC.jpg,https://postagestamps.gov.in/..\Pdf\PVK Brochure.pdf
15,Prakash GuruParab Sri Guru Tegh Bahadur Sahib Ji,21.04.2022,2500p,504000,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/GTBS Stamp.jpg,https://postagestamps.gov.in/Uploads/GTBS FDC.jpg,https://postagestamps.gov.in/..\Pdf\GTBS Brochure.pdf
16,UNIVERSITY OF DELHI CENTENARY YEAR,01.05.2022,1000p,674000,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/UOD Stamp.jpg,https://postagestamps.gov.in/Uploads/UOD FDC.jpg,https://postagestamps.gov.in/..\Pdf\UOD Brochure.pdf
17,MUMBAI SAMACHAR,14.06.2022,500p,301600,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/MS Stamp.jpg,https://postagestamps.gov.in/Uploads/MS FDC.jpg,https://postagestamps.gov.in/..\Pdf\MS Brochure.pdf
24,Sawai Gandharva,11.10.2022,500p,212350,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/STAMP_Sawai_Gandharwa.jpeg,https://postagestamps.gov.in/Uploads/FDC_Sawai_Gandharwa.jpg,https://postagestamps.gov.in/..\Pdf\BROCHURE_Sawai_Gandharwa.pdf
25,Golden Jubilee of Pincode,12.10.2022,500p,201600,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/STAMP_GOLDEN_JUB_PINCODE.jpg,https://postagestamps.gov.in/Uploads/FDC_GOLDEN_JUB_PINCODE.jpg,https://postagestamps.gov.in/..\Pdf\BROCHURE_GOLDEN_JUB_PINCODE.pdf
26,90th General Assembly of INTERPOL,18.10.2022,500p,305100,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/INTERPOL_STAMP.jpg,https://postagestamps.gov.in/Uploads/INTERPOL_FDC.jpg,https://postagestamps.gov.in/..\Pdf\INTERPOL_BROCHURE.pdf
27,150th Birth Anniversary of Vijay Vallabh Surishwer,26.10.2022,500p,451600,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/Vijay_Vallabh_Suri_STAMP.jpg,https://postagestamps.gov.in/Uploads/Vijay_Vallabh_Suri_FDC.jpeg,https://postagestamps.gov.in/..\Pdf\Vijay_Vallabh_Suri_BROCHURE.pdf
28,Platinum Jubilee Assam Medical College,03.11.2022,500p,211600,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/Assam_Medical_College_2022_STAMP.jpg,https://postagestamps.gov.in/Uploads/Assam_Medical_College_2022_FDC.jpeg,https://postagestamps.gov.in/..\Pdf\Assam_Medical_College_2022_Brochure.pdf
29,175 Years of IIT Roorkee,25.11.2022,500p,303200,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/IIT_ROORKEE_STAMP.jpg,https://postagestamps.gov.in/Uploads/IIT_ROORKEE_FDC.jpg,https://postagestamps.gov.in/..\Pdf\IIT_ROORKEE_BROCHURE.pdf
30,Pa Togan Nengminza Sangma,12.12.2022,500p,304000,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/Pa_Togan_Nengminza_Sangma_STAMP.jpg,https://postagestamps.gov.in/Uploads/Pa_Togan_Nengminza_Sangma_FDC.jpg,https://postagestamps.gov.in/..\Pdf\Pa_Togan_Nengminza_Sangma_BROCHURE.pdf
31,150th Birth Anniversary of Sri Aurobindo,13.12.2022,15000p,304000,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/Aurobindo_2022_STAMP.jpg,https://postagestamps.gov.in/Uploads/Aurobindo_2022_FDC.jpg,https://postagestamps.gov.in/..\Pdf\Aurobindo_2022_BROCHURE.pdf
32,125 Years Sardar School Jodhpur,13.12.2022,500p,303600,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/125_Years_Sardar_School_ Jodhpur_STAMP.jpg,https://postagestamps.gov.in/Uploads/125_Years_Sardar_School_ Jodhpur_FDC.jpg,https://postagestamps.gov.in/..\Pdf\125_Years_Sardar_School_ Jodhpur_BROCHURE.pdf
33,Visamanbapu,31.12.2022,500p,201600,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/Visamanbapu_STAMP.jpeg,https://postagestamps.gov.in/Uploads/Visamanbapu_FDC.jpg,https://postagestamps.gov.in/..\Pdf\Visamanbapu_BROCHURE.pdf
1,Surakshit Jayen Prashishit Jayen,09.01.2023,500p,266600,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\Surakshit_Jayen_Prashishit_Jayen_STAMP.jpg,https://postagestamps.gov.in/Uploads/2023\Surakshit_Jayen_Prashishit_Jayen_FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\Surakshit_Jayen_Prashishit_Jayen_BROCHURE.pdf
2,Major Durga Mall,23.01.2023,500p,302850,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\Major_Durga_Mall_STAMP.jpg,https://postagestamps.gov.in/Uploads/2023\Major_Durga_Mall_FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\Major_Durga_Mall_BROCHURE.pdf
3,75th  Year of Establishment of Diplomatic Relation between India - Egypt,25.01.2023,500 p (2)Rs. 30 for Souvenir Sheet,1.11 lakh,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\75th_ Diplomatic_India_Egypt_Stamp.jpg,https://postagestamps.gov.in/Uploads/2023\75th_ Diplomatic_India_Egypt_Canceled FDC_Egypt.jpg,https://postagestamps.gov.in/..\Pdf\2023\75th_ Diplomatic_India_Egypt_brochure.pdf
4,150th Birth Anniversary of Ram Chandra Maharaj,02.02.2022,1500p,327600,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\Ramchandra_Maharaja_STAMP.jpg,https://postagestamps.gov.in/Uploads/2023\Ramchandra_Maharaja_FDC.jpeg,https://postagestamps.gov.in/..\Pdf\2023\Ramchandra_Maharaja_BROCHURE.pdf
5,General K. S. Thimayya,04.02.2023,500p,302005,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\General_K_S_Thimayya_STAMP.jpg,https://postagestamps.gov.in/Uploads/2023\General_K_S_Thimayya_FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\General_K_S_Thimayya_BROCHURE.pdf
6,Azadi Ka Amrit Mahotsav,11.02.2023,500p (2),201600,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\Amrit Mahotsav Stamp.jpg,https://postagestamps.gov.in/Uploads/2023\Amrit Mahotsav FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\Amrit Mahotsav Brochure.pdf
7,Bridal Costumes of India,12.02.2023,2500p(8),111000,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\Bridal_Costume_STAMP1.jpg,https://postagestamps.gov.in/Uploads/2023\Bridal_Costume_FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\Bridal_Costume_BROCHURE.pdf
8,Geographical Indications: Agricultural Goods,13.02.2023,500p(12),111000,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\Geographical_Indications_Agricultural_Goods_STAMP.jpg,https://postagestamps.gov.in/Uploads/2023\Geographical_Indications_Agricultural_Goods_FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\Geographical_Indications_Agricultural_Goods_BROCHURE.pdf
9,Rao Birender Singh,20.02.2023,500p,301805,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\RAO_BIRENDER_SINGH_STAMP.jpg,https://postagestamps.gov.in/Uploads/2023\RAO_BIRENDER_SINGH_FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\RAO_BIRENDER_SINGH_BROCHURE.pdf
10,225 Glorious Years 2nd Battalion The Parachute Regiment (Special Forces),24.02.2023,500p,301850,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\225_Glorious_ Years_STAMP.jpg,https://postagestamps.gov.in/Uploads/2023\225_Glorious_ Years_FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\225_Glorious_ Years_BROCHURE.pdf
11,75 Years of 1 Central Base Post Office,01.03.2023,500p,202000,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\1CBPO-Stamp.jpg,https://postagestamps.gov.in/Uploads/2023\1CBPO-FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\1CBPO-Brouchure.pdf
12,75 Years of India – Luxembourg Friendship,14.03.2023,"2500 p, 2500p",116000,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\75_Years_of_India_Luxembourg_Friendship_Souvenir_Sheet.png,https://postagestamps.gov.in/Uploads/2023\75_Years_of_India_Luxembourg_Friendship_FDC.png,https://postagestamps.gov.in/..\Pdf\2023\75_Years_of_India_Luxembourg_Friendship_Brochure.pdf
13,International Year of Millets (Shree Anna),18.03.2023,500p,303700,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\International_Year_of_Millets_STAMP.jpg,https://postagestamps.gov.in/Uploads/2023\International_Year_of_Millets_FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\International_Year_of_Millets_BROCHURE.pdf
14,Parshuram,19.03.2023,500 p,201600,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\Parshuram_Stamp.jpg,https://postagestamps.gov.in/Uploads/2023\Parshuram_FDC_Cancelled.jpg,https://postagestamps.gov.in/..\Pdf\2023\Parshuram_Brochure.pdf
15,Legends of Odisha,30.03.2023,5000p,110000,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\Legends_of_Odisha_STAMP.jpg,https://postagestamps.gov.in/Uploads/2023\Legends_of_Odisha_FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\Legends_of_Odisha_BROCHURE.pdf
16,Diamond Jubilee of CBI,03.04.2023,500 p,301700,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\Diamond Jubilee of CBI STAMP.jpg,https://postagestamps.gov.in/Uploads/2023\Diamond Jubilee of CBI FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\Diamond Jubilee of CBI Brochure.pdf
17,GauhatiHigh Court,05.04.2023,500p,303600,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\Gauhati_High_Court_STAMP.jpg,https://postagestamps.gov.in/Uploads/2023\Gauhati_High_Court_FDC.jpeg,https://postagestamps.gov.in/..\Pdf\2023\Gauhati_High_Court_BROCHURE.pdf
18,Dayanand Saraswati,07.04.2023,500p,201600,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\Dayanand Saraswati STAMP.jpg,https://postagestamps.gov.in/Uploads/2023\Dayanand Saraswati FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\Dayanand Saraswati BROCHURE.pdf
19,75th Year of Indian Army Day,19.04.2023,500p,302005,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\75th_Year_of_Indian_Army_Day_Stamp.jpg,https://postagestamps.gov.in/Uploads/2023\75th_Year_of_Indian_Army_Day_Stamp_Cancelled_FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\75th_Year_of_Indian_Army_Day_Stamp_Brochure.pdf
20,Mann Ki Baat,26.04.2023,500p,302400,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\Mann_Ki_Baat_stamp.jpg,https://postagestamps.gov.in/Uploads/2023\Mann_Ki_Baat_fdc_final_18_04.jpg,https://postagestamps.gov.in/..\Pdf\2023\Mann_Ki_Baat_Brochure.pdf
21,250th Birth Anniversary of Raja Ram Mohan Roy,22.05.2023,500p,201600,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\Raja_Ram_Mohan_Roy_Stamp.jpg,https://postagestamps.gov.in/Uploads/2023\Raja_Ram_Mohan_Roy_FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\Raja_Ram_Mohan_Roy_Brochure.pdf
22,Parliament Complex,28.05.2023,7500p,209600,"Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2023\Parliament_Complex_Stamp.jpg,https://postagestamps.gov.in/Uploads/2023\Parliament_Complex_FDC.jpg,https://postagestamps.gov.in/..\Pdf\2023\Parliament_Complex_Brochure.pdf
